label,map,recip_rank,ndcg_cut_10,ndcg_cut_100
BM25 retrieval only,0.2873853196818658,0.7628395061728395,0.4399427421342221,0.47763304430792397
E5 dense only,0.37382960602771526,0.9074318542965407,0.5773690930770323,0.5549014065130851
E5 + Rocchio (k=3),0.431669819397077,0.9544444444444444,0.6142839964522129,0.5836262957664975
E5 + Rocchio (k=5),0.4426575096375116,0.9425925925925925,0.6236221382940975,0.5950711881819907
