label,map,recip_rank,ndcg_cut_10,ndcg_cut_100
BM25 retrieval only,0.2110129975738661,0.7989896691393984,0.4489514289384138,0.4538330099432974
E5 dense only,0.2229415887090448,0.9205426356589148,0.6219550225718519,0.4836615806888575
E5 + Rocchio (k=5),0.26581620941244394,1.0,0.6385610012923206,0.4903338740542076
E5 + Rocchio (k=10),0.26935461274810113,0.9767441860465116,0.6653102218498163,0.5010217284356723
E5 + Rocchio (k=20),0.26881631013503154,0.9651162790697675,0.6666096352659211,0.49801624970851743
E5 + Rocchio (k=50),0.2690083912105024,0.9651162790697675,0.6663071463795687,0.4986242018799734
E5 + Rocchio (k=100),0.2690718251283949,0.9651162790697675,0.6674755238078888,0.49876693454747884
RM3,0.25114942025663606,0.8575858250276855,0.5608072869897641,0.5095879095779996
