map,recip_rank,ndcg_cut_10,ndcg_cut_100,fb_docs,fb_terms,fb_lambda
0.00284605403999262,0.00284605403999262,0.003237342229314364,0.0037294473534989197,5,10,0.3
0.21453387447965502,0.21453387447965502,0.25455000523534943,0.3113182670800338,5,10,0.5
0.2242202582005332,0.2242202582005332,0.2662976671637849,0.32418303168251367,5,10,0.7
0.22945611722045992,0.22945611722045992,0.2728284580771637,0.3305210433280966,5,10,0.8
0.2351246557157337,0.2351246557157337,0.2799550710398413,0.3362917203155103,5,10,0.9
0.21011597360826334,0.21011597360826334,0.24698267566142357,0.302695607798625,5,20,0.3
0.219101805745268,0.219101805745268,0.2587811038421059,0.31530447409756945,5,20,0.5
0.22735135268046727,0.22735135268046727,0.26972708451464983,0.3270200762022385,5,20,0.7
0.23202990194879156,0.23202990194879156,0.2757216173426796,0.33262420983575114,5,20,0.8
0.23792759939267213,0.23792759939267213,0.28186846081179495,0.3385477394106994,5,20,0.9
0.21812877029736497,0.21812877029736497,0.25463092968606044,0.3094299661459609,5,50,0.3
0.22529611455661952,0.22529611455661952,0.2641949781823105,0.3208268645599167,5,50,0.5
0.2326567215561563,0.2326567215561563,0.2740224394368077,0.331673740579189,5,50,0.7
0.2354735940570474,0.2354735940570474,0.2783629450286328,0.33582742326463005,5,50,0.8
0.24076282853629172,0.24076282853629172,0.28447912066153164,0.3409885929629923,5,50,0.9
0.2221200171064973,0.2221200171064973,0.25989156992498263,0.3133680456781738,5,100,0.3
0.22864263373058116,0.22864263373058116,0.2685966330831974,0.3240462031049569,5,100,0.5
0.2342466060153411,0.2342466060153411,0.2767952920262983,0.33312619509346353,5,100,0.7
0.2366181277938937,0.2366181277938937,0.27989414363997595,0.33689535928644543,5,100,0.8
0.2405491796631788,0.2405491796631788,0.28458041851260335,0.34086804500180673,5,100,0.9
0.20055776043742393,0.20055776043742393,0.2365021360067569,0.2953177473346069,10,10,0.3
0.20884699656678418,0.20884699656678418,0.24746074504655663,0.30699235892499355,10,10,0.5
0.21861646430516402,0.21861646430516402,0.2600977382492106,0.3197387698958733,10,10,0.7
0.22484594782463443,0.22484594782463443,0.26719103614977463,0.3267142108132454,10,10,0.8
0.23321752207740085,0.23321752207740085,0.2773388743983847,0.3348090456703674,10,10,0.9
0.2032551487410598,0.2032551487410598,0.23959456221951383,0.2971027183106484,10,20,0.3
0.21269729791516628,0.21269729791516628,0.2508920078702727,0.3104117692152791,10,20,0.5
0.22260676337717542,0.22260676337717542,0.26393377285234326,0.3230298463352749,10,20,0.7
0.227839875569362,0.227839875569362,0.2704457592407004,0.3292991866997287,10,20,0.8
0.23531426405976036,0.23531426405976036,0.2786153482505394,0.336610957501834,10,20,0.9
0.20670487329748785,0.20670487329748785,0.2434219458098338,0.3003916206171159,10,50,0.3
0.21420492917017328,0.21420492917017328,0.25327242070984424,0.31185457528250377,10,50,0.5
0.22488956205005325,0.22488956205005325,0.26683336444921507,0.3251043264895937,10,50,0.7
0.2283804856363457,0.2283804856363457,0.27160939835665615,0.33004586055268104,10,50,0.8
0.2365459880207365,0.2365459880207365,0.27997998118352213,0.3378248750106072,10,50,0.9
0.21225062079000145,0.21225062079000145,0.24951613939777473,0.3053712497965125,10,100,0.3
0.21922445045749286,0.21922445045749286,0.2592195330760927,0.3166251935113875,10,100,0.5
0.2266471503011152,0.2266471503011152,0.26966775299085394,0.32693197263488105,10,100,0.7
0.231107855179894,0.231107855179894,0.2741136752640105,0.33234226800235256,10,100,0.8
