label,map,recip_rank,ndcg_cut_10,ndcg_cut_100
BM25 retrieval only,0.21101299757386613,0.7989896691393984,0.44895142893841383,0.45383300994329745
E5 dense only,0.2229415887090448,0.9205426356589147,0.6219550225718519,0.48366158068885756
E5 + Rocchio (k=3),0.2700832403657073,1.0,0.6924795591744614,0.5259883704240255
E5 + Rocchio (k=5),0.27286365179827093,0.9728682170542635,0.6980289995915732,0.5292465447255412
