label,map,recip_rank,ndcg_cut_10,ndcg_cut_100
BM25 retrieval only,0.21101299757386613,0.7989896691393984,0.44895142893841383,0.45383300994329745
E5 dense only,0.2229415887090448,0.9205426356589147,0.6219550225718519,0.48366158068885756
E5 + Rocchio (k=3),0.2754537913520885,1.0,0.6624378200114311,0.5195129509225959
E5 + Rocchio (k=5),0.28231081616155546,0.9883720930232558,0.6829104252575747,0.532187403989818
