label,map,recip_rank,ndcg_cut_10,ndcg_cut_100
BM25 retrieval only,0.2873853196818658,0.7628395061728395,0.4399427421342221,0.4776330443079239
E5 dense only,0.3738296060277152,0.9074318542965408,0.5773690930770323,0.5549014065130851
E5 + Rocchio (k=5),0.4243218417559978,0.9333333333333333,0.5932478734186789,0.5617687576720187
E5 + Rocchio (k=10),0.42370444817795416,0.9314814814814815,0.6017209095793997,0.56589845936874
E5 + Rocchio (k=20),0.42795470347266024,0.9240740740740739,0.6075548212048427,0.5666095823113851
E5 + Rocchio (k=50),0.427911057853466,0.9240740740740739,0.6054247020341331,0.5661454189026212
E5 + Rocchio (k=100),0.42791726115022993,0.9240740740740739,0.6054961483061919,0.5661759541632203
RM3,0.3797244546056078,0.8256404901141743,0.5338748354068393,0.5536082608069725
